title,description,publishtime,url,content
"

              Interview with Robert Huish
          
","
              Robert Huish, a Dalhousie professor of International Studies shares some insights into the controversial imprisonments of two Canadians in China.
        ","
                  Saturday, Dec. 12, 2020
                ",https://www.ctvnews.ca/video?clipId=2100002,
"

              Hong Kong's Jimmy Lai denied bail as Pompeo tweets support
          
","
              Jimmy Lai, the 73-year-old Hong Kong media tycoon and advocate for democracy, was denied bail Saturday after being charged the previous day under the semi-autonomous Chinese territory's new national security law.
        ","
                  Saturday, Dec. 12, 2020
                ",https://www.ctvnews.ca/world/hong-kong-s-jimmy-lai-denied-bail-as-pompeo-tweets-support-1.5228661,"HONG KONG -- 
	Jimmy Lai, the 73-year-old Hong Kong media tycoon and advocate for democracy, was denied bail Saturday after being charged the previous day under the semi-autonomous Chinese territory's new national security law.
	Lai faces a charge of collusion with foreign elements to endanger national security, apparently for tweets he made and interviews or commentaries he did with foreign media.
	The Apple Daily, a feisty pro-democracy tabloid owned by Lai, said he is accused of asking a foreign country, organization or individual to impose sanctions or engage in other hostile activities against Hong Kong or China.
	His case was adjourned to April 16 at the request of prosecutors, who said police needed time to review more than 1,000 tweets and comments made on his Twitter account, the Apple Daily reported.
	The newspaper said his charge sheet listed several foreign politicians who followed Lai on Twitter and cited commentaries he wrote and interviews he did with foreign media.
	Lai, who was already being held on other fraud charges after police raided his media company, could be seen handcuffed to a chain around his waist as guards led him to a van to go from prison to court. He wore a navy blazer and an open-neck shirt.
	Beijing imposed the national security law on Hong Kong earlier this year after stormy protests in 2019 that started over an extradition bill and expanded to include demands for greater democracy in the former British colony.
	The new law outlaws secession, subversion, terrorism and collusion with foreign forces to intervene in Hong Kong's affairs. It has constricted free speech in the city, and democracy activists see it as a way to suppress dissent.
	U.S. Secretary of State Mike Pompeo tweeted Saturday morning Asia time that the security law ""makes a mockery of justice."" He called for Lai's release, saying his only crime is speaking the truth about China's authoritarian Communist Party government.
	Lai, the highest-profile person charged under the security law, has also been arrested for other alleged offences this year. He has been charged with taking part in unauthorized protests and with fraud over alleged violations of office lease terms.
	He has advocated for other countries to take a harsher stance on China, and met with Pompeo and Vice-President Mike Pence in the U.S. last year to discuss the extradition bill, which the Hong Kong government eventually withdrew.
	Pence also tweeted about Lai, saying the charges against him are ""an affront to freedom loving people around everywhere."""
"

              Relatives make plea for info on Hong Kong detainees in China

","
              Relatives of a dozen Hong Kong residents who have been detained in mainland China for more than 3 1/2 months made a plea Saturday to be informed of the timing of any trials and whether they can attend.
        ","
                  Saturday, Dec. 12, 2020
                ",https://www.ctvnews.ca/world/relatives-make-plea-for-info-on-hong-kong-detainees-in-china-1.5228638,"HONG KONG -- 
	Relatives of a dozen Hong Kong residents who have been detained in mainland China for more than 3 1/2 months made a plea Saturday to be informed of the timing of any trials and whether they can attend.
	The request underscored the sharp contrast between the relatively open legal system in Hong Kong, a semi-autonomous Chinese territory, and that of the mainland, where often little information is divulged until a trial is over.
	""I miss my son so much,"" the mother of Wong Wai-yin, one of the detainees, said, choking up. ""I want to visit him so badly. I haven't seen my son in a very long time -- it's almost four months. Please tell me (about the trial). I'm just an ordinary mother.""
	The 12 were arrested at sea in August while they were apparently making a bid to flee to Taiwan after a tough national security law took effect in Hong Kong earlier this year.
	They were picked up after entering mainland waters for crossing the maritime border without permission. At least some took part in anti-government protests in 2019 and were facing charges in Hong Kong.
	Though Hong Kong is a part of China, travellers must still pass through immigration when going to and from the mainland.
	Two are being held on suspicion of organizing an illegal border crossing. The group has been locked up in Shenzhen, a southern Chinese city that borders Hong Kong.
	The relatives covered their faces with masks, and some wore sunglasses, caps or hoods to hide their identities as they spoke at a news conference. They did not give their names.
	Owen Chow, an activist who has been helping the families, said they wanted to know whether the trials would be open to the public and if family members could attend.
	He and some family members questioned the authenticity of letters some of the latter had received, purportedly from their detained relatives, saying they were being held in a good environment and not abused.
	""The only thing I can do is to have dissatisfaction and be angry,"" said a relative of Tang Kai-yin, another detainee. ""I don't know what else to do."""
"

              As leaders set fresh climate goals, Biden pledges U.S. support
          
","
              U.S. President-elect Joe Biden pledged Saturday to rejoin the Paris climate accord on the first day of his presidency, as world leaders staged a virtual gathering to celebrate the fifth anniversary of the international pact aimed at curbing global warming.
        ","
                  Saturday, Dec. 12, 2020
                ",https://www.ctvnews.ca/sci-tech/as-leaders-set-fresh-climate-goals-biden-pledges-u-s-support-1.5228631,"PARIS -- 
	U.S. President-elect Joe Biden pledged Saturday to rejoin the Paris climate accord on the first day of his presidency, as world leaders staged a virtual gathering to celebrate the fifth anniversary of the international pact aimed at curbing global warming.
	Heads of state and government from over 70 countries took part in the event -- hosted by Britain, France, Italy, Chile and the United Nations -- to announce greater efforts in cutting the greenhouse gas emissions that fuel global warming.
	The outgoing administration of U.S. President Donald Trump, who pulled Washington out of the Paris accord, wasn't represented at the online gathering. But in a written statement sent shortly before it began, Biden made clear the U.S. was waiting on the sidelines to join again and noted that Washington was key to negotiating the 2015 agreement, which has since been ratified by almost all countries around the world. 
	""The United States will rejoin the Paris Agreement on day one of my presidency,"" he said. ""I'll immediately start working with my counterparts around the world to do all that we possibly can, including by convening the leaders of major economies for a climate summit within my first 100 days in office.""
	Biden reiterated his campaign pledge that his administration will set a target of cutting U.S. emissions to net zero ""no later than 2050.""
	Experts say commitments put forward by the international community in the past five years have already improved the long-term outlook on climate change, making the worst-case scenarios less likely by the end of the century. But wildfires in the Amazon, Australia and America, floods in Bangladesh and East Africa, and record temperatures in the Arctic have highlighted the impact an increase of 1.2 degrees Celsius (2.2 Fahrenheit) since pre-industrial times is already having on the planet.
	""If we don't change course, we may be headed for a catastrophic temperature rise of more than 3 degrees (Celsius) this century,"" UN Secretary-General Antonio Guterres said, urging world leaders to declare a ""climate emergency.""
	The Paris agreement aims to cap global warming at well under 2 C (3.6 F), ideally no more than 1.5 C (2.7 F), by the end of the century. Meeting the temperature target will require a phasing-out of fossil fuels and better protection for the world's carbon-soaking forests, wetlands and oceans.
	The UN chief called the announced U.S. return to the Paris accord ""a very important signal.""
	""We look forward for a very active U.S. leadership in climate action from now on,"" Guterres said. ""The United States is the largest economy in the world, it's absolutely essential for our goals to be reached.""
	Biden insisted that the dramatic economic shifts needed would be positive for American workers.
	""We have before us an enormous economic opportunity to create jobs and prosperity at home and export clean American-made products around the world, harnessing our climate ambition in a way that is good for American workers and the U.S. economy,"" he said.
	American representatives at the virtual meeting included Michigan Gov. Gretchen Whitmer, Gov. Charlie Baker of Massachusetts and U.S. business leaders, such as Apple chief executive Tim Cook.
	Also absent from the event were major economies such as Australia, Brazil, Indonesia, Mexico, Russia and Saudi Arabia. Most have offered no significant improvements on their existing emissions targets lately.
	Environmental campaigners singled out Brazil's recent announcement that it will stick to its target of cutting emissions by 43 per cent over the next decade compared with 2005 levels and aim for net zero by 2060 -- later than most other countries.
	By contrast, an agreement Friday by European Union members to beef up the continent's 2030 targets from 40 per cent to at least 55 per cent compared with 1990 levels was broadly welcomed, though activists said it could have aimed even higher.
	China, the world's biggest emitter, also surprised the world in September by announcing a net zero target of 2060, with emissions peaking by 2030. In his speech Saturday, Chinese President Xi Jinping provided further details on his country's medium-term goal for improving energy efficiency and ramping up electricity generated from renewable sources of power such as wind and solar.
	But Xi also cautioned that ""unilateralism will lead us nowhere"" -- a veiled reference to discussions in the EU to impose tariffs on goods imported from countries that have less stringent emissions standards than the 27-nation bloc. The issue is likely to dominate discussion between China, the EU and the U.S. in coming years.
	The Maldives, an Indian Ocean nation made up of low-lying islands that are particularly vulnerable to sea level rise, announced Saturday that it will now aim to achieve net zero by 2030, one of the most ambitious goals worldwide. Bhutan and Suriname claim to have already achieved that goal.
	The 189 countries that are party to the Paris agreement are required to submit their updated targets to the United Nations by the end of the year. This would normally have occurred at the annual UN climate summit, but the event was postponed for a year because of the pandemic.
	The gathering, now scheduled to take place in Glasgow, Scotland, in November 2021, will see haggling over financial support for poor countries to cope with climate change, and fine-tuning the rules for international markets in emissions trading. Britain, next year's host, announced this month that it's aiming to cut emissions by 68 per cent over the next decade and end state support for fossil fuel industry exports.
	Former UN climate chief Christiana Figueres, who was a key player at the Paris negotiations, said leaders had a duty to be optimistic about their ability to curb global warming.
	""Because if we don't, the alternative is unthinkable,"" she said. ""None of us adults alive today want to have on our shoulders the responsibility of turning over a world that is a world of misery for generations to come.""
	------
Frank Jordans reported from Berlin."
"

              U.S. allows emergency COVID-19 vaccine in bid to end pandemic
          
","
              The U.S. gave the final go-ahead Friday to the nation's first COVID-19 vaccine, marking what could be the beginning of the end of an outbreak that has killed nearly 300,000 Americans, according to a person familiar with the decision but not authorized to d...
        ","
                  Friday, Dec. 11, 2020
                ",https://www.ctvnews.ca/health/coronavirus/u-s-allows-emergency-covid-19-vaccine-in-bid-to-end-pandemic-1.5228484,"WASHINGTON -- 
	The U.S. gave the final go-ahead Friday to the nation's first COVID-19 vaccine, marking what could be the beginning of the end of an outbreak that has killed nearly 300,000 Americans, according to a person familiar with the decision but not authorized to discuss it publicly.
	Shots for health workers and nursing home residents are expected to begin in the coming days after the Food and Drug Administration authorized an emergency rollout of what promises to be a strongly protective vaccine from Pfizer Inc. and its German partner BioNTech.
	Initial doses are scarce and rationed as the U.S. joins Britain and several other countries in scrambling to vaccinate as many people as possible ahead of a long, grim winter. It will take months of work to tamp down the coronavirus that has surged to catastrophic levels in recent weeks and already claimed 1.5 million lives globally.
	While the FDA decision came only after public review of data from a huge ongoing study, it has also been dogged by intense political pressure from the Trump administration, which has accused the agency of being too slow and even threatened to remove FDA chief Stephen Hahn if a ruling did not come Friday.
	The move sets off what will be the largest vaccination campaign in U.S. history -- but it also has global ramifications because it's a role model to many other countries facing the same decision.
	The world desperately needs multiple vaccines for enough to go around, and the Pfizer-BioNTech shot is the first based on rigorous scientific testing to emerge from that worldwide race -- a record-setting scientific achievement that shaved years off the usual process.
	""I don't think you would have found a scientist on this planet that would have predicted this 11 months ago,"" said Dr. Paul Offit, a vaccine expert at Children's Hospital of Philadelphia who advises the FDA.
	The U.S. is considering a second vaccine, made by Moderna Inc., that could roll out in another week. In early January, Johnson & Johnson expects to learn if its vaccine is working in final testing.
	Europe is set to make its own decision on the Pfizer-BioNTech and Moderna shots later this month, an important step as some other candidates that multiple countries were anxiously awaiting have hit roadblocks. Friday, Sanofi and GSK announced a months-long delay after early tests showed their vaccine didn't work well enough in older adults.
	And China and Russia didn't wait for final-stage tests before beginning vaccinations with some homegrown shots.
	About 3 million doses of the Pfizer-BioNTech vaccine are expected in the first shipments around the country, according to officials with Operation Warp Speed, the Trump administration's vaccine development program. A similar amount is to be held in reserve for those recipients' second dose.
	A Centers for Disease Control and Prevention advisory committee is poised to recommend who's first in line. Expected to follow health workers and nursing homes are other essential workers, older adults and people at high risk because of other health problems. U.S. authorities don't expect enough for the general population before spring, and that's assuming there are no manufacturing glitches.
	In a still unfinished study of nearly 44,000 people, the FDA found the vaccine was safe and more than 90% effective across recipients of different ages, including older adults, races and those with health problems that put them at high risk from the coronavirus.
	Emergency use means the vaccine still is experimental. Most important for would-be recipients to know:
	--Some protection begins after the first dose, but it takes a second dose three weeks later for full protection. It's unclear how long protection lasts.
	--The vaccine protects against COVID-19 illness, but no one yet knows if it can stop the silent, symptomless spread that accounts for roughly half of all cases. The ongoing study will attempt to answer that but for now, the vaccinated still will need to wear a mask and keep their distance.
	--Expect a sore arm and some flu-like symptoms such as fever, fatigue, headache and chills after the second dose. While uncomfortable, those reactions only last about a day. ""That's just your immune system working. It's a good thing,"" Offit said.
	--Authorities are investigating several allergic reactions reported in Britain by people with a history of severe allergies. Offit said it is routine in the U.S. for the vaccinated to stick around for a half-hour so they could get prompt treatment if such reactions appear.
	If emergency use of Moderna's vaccine also is authorized, the U.S. expects to vaccinate 20 million people by the end of December. They hope to have enough for another 30 million people in January and 50 million in February.
	Getting shots into arms is the big challenge, especially as a new poll from The Associated Press-NORC Center for Public Affairs Research found only half of Americans want the vaccine when it's their turn. About a quarter say they won't get it and the rest aren't sure.
	Political interference has complicated health authorities' message that the testing was rigorous and cut no corners.
	President Donald Trump bashed the FDA, again, Friday for taking too long, complaining that the agency ""is still a big, old slow turtle."" One of his deputies even pressed Hahn to clear the shots by the end of the day or face possible firing, two administration officials said.
	The FDA is unique in analyzing drugmakers' raw data, a process that takes longer than many other countries' regulatory reviews. In addition, the FDA insisted that large COVID-19 vaccine studies track at least half the participants for two months to look for side effects, a time period when historically any vaccine problems appear.
------
AP journalist Jonathan Lemire contributed to this report.
------
The Associated Press Health and Science Department receives support from the Howard Hughes Medical Institute's Department of Science Education. The AP is solely responsible for all content."
"

              In Pictures: 2020 Year in Review
          
","

JANUARY

	 

IRANIAN GENERAL QASEM SOLEIMANI KILLED

Protesters chant slogans while holding up posters of Gen. Qassem Soleimani during a demonstration in front of the British Embassy in Tehran, Iran, Sunday, Jan. 12, 2020. (AP Photo/E...
","
                  Friday, Dec. 11, 2020
                ",https://www.ctvnews.ca/in-pictures-2020-year-in-review-1.5227891,"
	 
Protesters chant slogans while holding up posters of Gen. Qassem Soleimani during a demonstration in front of the British Embassy in Tehran, Iran, Sunday, Jan. 12, 2020. (AP Photo/Ebrahim Noroozi)
	 
Prince Harry and Meghan, Duchess of Sussex leave Canada House in London, Jan. 7, 2020. (AP Photo/Frank Augstein)
Rescue workers search the scene where a Ukrainian plane crashed in Shahedshahr, southwest of Tehran, Iran, Jan. 8, 2020. (AP Photo/Ebrahim Noroozi)
	 
Fire burns in the grass along the road as firetrucks pass by near Bumbalong, south of the Australian capital, Canberra, Saturday, Feb. 1, 2020. (AP Photo/Rick Rycroft)
	 "
"

              Canadian military not training with Chinese army, defence minister says
          
","
              Canada is no longer training with the Chinese military, the Minister of National Defence Harjit Sajjan told the House of Commons on Thursday, after Conservative defence critic James Bezan questioned why Prime Minister Justin Trudeau would maintain such rel...
        ","
                  Friday, Dec. 11, 2020
                ",https://www.ctvnews.ca/politics/canadian-military-not-training-with-chinese-army-defence-minister-says-1.5227280,"TORONTO -- 
	Canada is no longer training with the Chinese military, the Minister of National Defence Harjit Sajjan told the House of Commons on Thursday, after Conservative defence critic James Bezan questioned why Prime Minister Justin Trudeau would maintain such relations with China.
	The issue came to a head following a report by the Globe and Mail that top officials at Global Affairs, concerned the Chinese government would view it as a retaliatory move over its detention of Michael Kovrig and Michael Spavor, was “alarmed” that General Jonathan Vance cancelled winter military exercises with the People’s Liberation Army in 2019 at CFB Petawawa.
	The news comes as Kovrig and Spavor marked their second anniversary in Chinese prison on what Canada and its Western allies say are unfounded espionage charges that followed Canada’s arrest of Huawei executive Meng Wanzhou on a U.S. extradition warrant in December 2018.
	“Our government always stands up for Canadians at home and abroad and this includes our relationship with China. But let me be very clear, we do not train with Chinese military,” said Minister Sajjan, adding that this initiative was originally put in place by the Conservative government under Stephen Harper.
	“It was the previous government that actually signed a co-operation plan initiative in 2013 under Rob Nicholson, when he was the Minister of National Defence … because of the agreement they had signed, this is one of the reasons why we actually changed our approach because of the concerns the member outlined,” Sajjan said.
	Bezan, who served as Parliamentary Secretary of National Defence under Nicholson at the time, said Canada was engaging in “hostage diplomacy” and that the Chinese government back then “is completely different to the Chinese government today.”
	Conservative leader Erin O’Toole called the joint training exercise a “dangerous path for the Trudeau government to take"" and called Canada's dealings with China a ""dangerously naive approach [that] has put Canada and our citizens at risk.”
	The Canadian Armed Forces have participated in various joint and regional military exercises for decades with some two dozen Pacific Rim countries. Specifically, Canada advanced its bilateral defence relationship with China through talks between senior military officials on both sides in March 2012 and June 2013. The Cooperation Plan Initiative, which would guide defence-related activities, was signed in Ottawa in August 2013.
	China’s President Xi Jinping, who came into power in March 2013, has tightened his control over the country in recent years through mass detention and surveillance of its Muslim population in Xinjiang, a crackdown on activism, heavy Internet censorship, consolidation of power and removal of presidential term limits. He has also taken a more assertive and harder-line approach to foreign affairs and defending China’s interests.
	Meng’s arrest, and the subsequent arrest of Kovrig and Spavor shortly after, soured relations between Canada and China. Trudeau has spoken to U.S. president-elect Joe Biden about the situation, but has not said whether Biden might revisit the Justice Department’s efforts to extradite Meng. Should the U.S. withdraw its charges against Meng, it could give China a reason to release Kovrig and Spavor.
	“We will always stand up for Canadians who are arbitrarily detained. This is one of the reasons why we actually stopped our training with the Chinese,” Sajjan said.
With files from The Canadian Press"
"

              Olympics on tight timeline to chart new path on protest
          
","
              For generations, the IOC knew exactly where to look for key support of its ban against protests at the Olympics. This week, the American federation put the IOC on notice: It is no longer the IOC's partner when it comes to enforcing the contentious Rule 50.
        ","
                  Friday, Dec. 11, 2020
                ",https://www.ctvnews.ca/sports/olympics-on-tight-timeline-to-chart-new-path-on-protest-1.5227276,"
	For generations, the IOC knew exactly where to look for key support of its ban against protests at the Olympics.
	In 1968, it was the U.S. Olympic Committee that sent home its own athletes, Tommie Smith and John Carlos, when they raised their fists while on the medals stand at the Mexico City Games.
	In 2019, it was the same organization that placed its own athlete, Gwen Berry, on probation for doing the same after her win at the Pan-Am Games.
	This week, the American federation put the IOC on notice: It is no longer the IOC's partner when it comes to enforcing the contentious Rule 50. The USOPC is now heeding the calls from many of its own athletes and will no longer punish them for kneeling or raising fists or any other kind of acceptable demonstration at the Olympics.
	“When you sit in my seat, you have to make decisions that you think are on the right side of history,” said CEO Sarah Hirshland. “And I believe we're on the right side of history.”
	But there are details to iron out, and they strike to the heart of how much change is truly possible between now and next July, when the Tokyo Olympics are scheduled to take place.
	High on the list: What can athletes demonstrate about, and what will an acceptable demonstration look like?
	“That becomes a difficult situation,” said Harry Edwards, the activist who helped brainstorm the gestures by Smith and Carlos 52 years ago. “Because you could very easily get into a thing of trying to outdo someone else and it ends up having nothing to do with the spirit of the issue.”
	That confusion helps explain the calculated response to the USOPC that came from the IOC in the form of a short release from the head of its athlete commission, swimmer Kirsty Coventry of Zimbabwe.
	Well aware that the protest rule can't stay as-is for the foreseeable future, Coventry and the IOC are in the process of surveying athletes across the globe for their thoughts about possible changes. She said the majority of the respondents believe in the right of free speech, which is “respected” at the Olympic Games (but only in certain settings) and “express support for preserving the ceremonies, the podium and the field of play.”
	Though Coventry's committee is still accepting feedback, and won't make any final decisions until early next year, she's previewing a far less radical adjustment to Rule 50 than the U.S. contingent would like.
	American athletes have been reeling from a summer of unrest over police violence against Black people in the United States. Every major sports league has agreed to change policies to give their players a bigger platform to discuss race and social injustice.
	But U.S. sports leagues and the Olympics are very different creatures. The Olympics are a behemoth that counts America as only one of 206 countries who are members.
	Some of the biggest members are among the IOC's most important partners - China, for instance, hosted the 2008 Olympics and will do so again in 2022 - and they don't share the same concerns or values about free speech or racial injustice as do the United States and many of its closest allies.
	“Many have also recognized the practical question of how to choose between the opinions of hundreds of issues from different angles across the world,” Coventry said of her survey respondents. “We can see that it would be very difficult to make such a judgment without dividing the athlete community across all 206 NOCs.”
	Moushaumi Robinson, who led the U.S. athletes group that pressed for the changes, said she understands the complexities. Her group continues to discuss them to try to come up with solutions.
	“A lot of us just want to be able to say `I may not agree with you but I respect that you have a voice,”' she said. “And we want to be able to express it without someone punishing you for it.”
	All of which leads Edwards to believe that Thursday's move by the USOPC and its athletes is a sign of progress - not necessarily a huge leap but another step.
	“This is an ongoing struggle, and it's going to continue to be a struggle,” he said. “And what today reflects is that this generation of athletes is more than willing to do their part.”"
"

              Diverse TV holiday season includes all-Asian Lifetime movie
          
","
              In one scene from the Lifetime TV movie, “A Sugar & Spice Holiday,” a co-worker says to Suzy, an Asian American architect in Los Angeles: “I didn't know if Christmas was a big deal where you're from.”
        ","
                  Friday, Dec. 11, 2020
                ",https://www.ctvnews.ca/entertainment/diverse-tv-holiday-season-includes-all-asian-lifetime-movie-1.5227204,"
	In one scene from the Lifetime TV movie, “A Sugar & Spice Holiday,” a co-worker says to Suzy, an Asian American architect in Los Angeles: “I didn't know if Christmas was a big deal where you're from.”
	Retorts Suzy: “I'm from Maine.”
	A lot of viewers of a cozy Christmas film might just shrug off the insinuation that Suzy is somehow not American. But for an Asian audience, that brief exchange is a knowing reminder that microaggressions don't take a holiday. They especially haven't in the wake of the pandemic, which has triggered anti-Asian racism and terms like “Chinese virus” and “kung flu.”
	“I think it's great timing for us for this movie to be coming out now during the pandemic with the perception of the Asian culture and the `flu' and all,” Canadian actor Jacky Lai, who plays Suzy, told The Associated Press. “I really do hope that this (movie) - with our faces - is able to hopefully be welcomed by people into their homes and see us as just your American/Canadian friends.”
	“A Sugar & Spice Holiday,” premiering Sunday, may be the first feel-good TV Christmas flick to feature a mostly Asian ensemble. It's one of several projects where cable channels are demonstrating a desire for inclusion this yuletide season. The shift comes a year after the Hallmark Channel dropped an ad that included a same-sex couple. The fallout pointed to an overall diversity problem in the genre with not just the LGBTQ community, but communities of colour. Recent months of racial unrest only added to the conversation within the entertainment industry about representation.
	Tia Maggini, vice-president of Lifetime Original Movies, says it was a coincidence that screenwriter Eirene Donohue, who is Asian American and had worked with the them before, came to them with the story pitch.
	“It was exciting to be presented with this particular point of view that has been long overdue for the Christmas movie genre,” Maggini said in a statement. Most important: The movie itself was actually funny and “full of Christmas heart.”
	Indeed, the rom-com has all the warm, familiar holiday movie tropes. Suzy returns to the small town where she grew up for Christmas, is persuaded to revive her baking skills for a local gingerbread house competition and is assisted by her former high school crush (Tony Giroux).
	Her father is played by veteran actor Tzi Ma. Despite a year filled with high profile film roles in “The Farewell” and “Mulan,” Ma didn't hesitate to join a Lifetime movie.
	“It was the first time a Chinese American family was featured on a Christmas story,” Ma said in an email. “Lifetime has a tremendous Asian American following. It's a way to say thank you to them.”
	In Hollywood, it can often feel like studios only cast Asians in narratives where there's some kind of hardship or East-meets-West struggle. And with TV holiday movies, they're almost nonexistent. Meanwhile, there are white actors who have made a baker's dozen of them. Like any other group, Giroux says, Asians deserve to see themselves in lighthearted fare regularly.
	“I think it's so important to have all sorts of stories with any culture - for them to have exposure to the stories of struggle but it's such a delight to see something lighter, to see aspects of culture that aren't surrounded with times of difficulty,” Giroux says.
	Giroux, who is Canadian, is also looking forward to queuing up a movie where his grandparents can see themselves.
	“I'm really excited for them to see a story that covers part of their story. My grandparents immigrated here from China from in the `50s,” Giroux says. “That's why being part of this project is telling a story that I'm really a part of.”
	Lai grew up loving romantic comedies. She remembers unexpectedly getting emotional watching “Crazy Rich Asians,” the first major Hollywood studio film with an all-Asian cast in 25 years.
	“You hear people say there hasn't been a movie like this in 25 years. You hear those things. But it's not until I sat in the theatre and watched someone who looked like me on screen who wasn't a ninja or a nerd but someone just like me. I remember the way it felt,” Lai says. ”I am so excited that there's another movie like that and hopefully we bring joy and open some minds with this movie and more opportunities.“
	The movie is lovingly sprinkled with Chinese American nuances on script and screen. These include a photo of Suzy's deceased grandma flanked by incense sticks and the entire family eating with chopsticks. And it is definitely the only Christmas movie to feature both gingerbread and stinky tofu, a beloved Chinese dish known for its pungent smell.
	“I love that we were able to kind of include a lot of nice details. ... It's really a romantic comedy where the characters happen to be Asian American,” says Jennifer Liao, the director. “It's nice to make an Asian American movie that's not necessarily completely frontloaded with having to carry the weight of cultural identity issues and things like that.”
	“Sugar & Spice” is not the only holiday movie expanding the definition of who can lead these kinds of flicks. A handful of networks, including Lifetime and Hallmark, have a Christmas-themed movie on their slate featuring a same-sex pairing. Tony winner Ali Stroker, who uses a wheelchair, stars in Lifetime's “Christmas Ever After.”
	Does Liao feel pressure as “the first” even on such an innocuous project to bring in a sizeable audience? “I feel like the pressure is more to deliver something that I and everybody else worked on can be proud of. That was really no. 1,” Liao says.
	Lai doesn't see the point of getting caught up in things like ratings.
	“I think that it is really, really nice to hear when someone says `I got to see someone who looks like me on screen.' That will never get old,” Lai says. “We get more responses like that - for me, the movie did its purpose.”
Terry Tang reported from Phoenix and is a member of The Associated Press' Race and Ethnicity team."
"

              India accuses China of responsibility for border tensions
          
","
              India on Friday rejected a Chinese allegation that it is responsible for high tensions along their disputed border. Indian External Affairs Ministry spokesman Anurag Srivastava said the six-month standoff between the two countries' armies ""has been a resul...
        ","
                  Friday, Dec. 11, 2020
                ",https://www.ctvnews.ca/world/india-accuses-china-of-responsibility-for-border-tensions-1.5227093,"NEW DELHI -- 
	India on Friday rejected a Chinese allegation that it is responsible for high tensions along their disputed border.
	Indian External Affairs Ministry spokesman Anurag Srivastava said the six-month standoff between the two countries' armies ""has been a result of the actions of the Chinese side, which has sought to effect a unilateral change in the status along the Line of Actual Control in Eastern Ladakh.""
	Srivastava was responding to a statement by Chinese Foreign Ministry spokesperson Hua Chunying in Beijing on Thursday that ""the rights and wrongs of what has happened in the China-India border area are very clear and the responsibility lies squarely with the Indian side.""
	Hua also said that China is firmly committed to safeguarding its sovereignty. ""We hope that India will work with China in the same direction and do more things conducive to solidarity, co-operation and common development,"" she said.
	The standoff between the Asian giants erupted into a fierce brawl in May and worsened into hand-to-hand combat on June 15 with soldiers using clubs, stones and fists, leaving 20 Indian troops dead. China is believed to also have suffered casualties, but has not given any details.
	The countries have held a series of talks on ending the standoff without any breakthrough."
