title,description,publishtime,url,content
"

              Hunter Biden subpoena seeks info on Burisma, other entities
          
","
              A subpoena seeking documents from Hunter Biden asked for information related to more than two dozen entities, including Ukraine gas company Burisma, according to a person familiar with a Justice Department tax investigation of U.S. president-elect Joe Bide...
        ","
                  Saturday, Dec. 12, 2020
                ",https://www.ctvnews.ca/world/america-votes/hunter-biden-subpoena-seeks-info-on-burisma-other-entities-1.5228898,"WASHINGTON -- 
	A subpoena seeking documents from Hunter Biden asked for information related to more than two dozen entities, including Ukraine gas company Burisma, according to a person familiar with a Justice Department tax investigation of U.S. president-elect Joe Biden's son.
	The breadth of the subpoena, issued Tuesday, underscores the wide-angle lens prosecutors are taking as they examine the younger Biden's finances and international business ventures.
	Hunter Biden's ties to Burisma in particular have long dogged the policy work and political aspirations of his father, Joe Biden, now the president-elect of the United States. It's unclear whether Hunter Biden's work at the Ukrainian company is a central part of the federal investigation or whether prosecutors are simply seeking information about all his sources of income in recent years.
	The person was not authorized to discuss an ongoing investigation publicly and spoke to The Associated Press on condition of anonymity.
	A lawyer for the younger Biden, George Mesires, did not immediately return a phone message seeking comment for this story and a spokesman for the Biden transition team declined to comment.
	Hunter Biden confirmed Wednesday that his taxes are under federal investigation. The revelation comes at a delicate time for the president-elect, who is building out his Cabinet and will soon decide on his nominee to run the Justice Department, the same department overseeing the investigation into his son.
	In addition to the Burisma-related request, the subpoena issued last week also seeks information on Hunter Biden's Chinese business dealings and other financial transactions.
	The probe was launched in 2018, the year before his father announced his candidacy for president. At one point in the investigation, federal prosecutors were also examining potential money laundering offences, two people familiar with the matter told the AP.
	Hunter Biden said he only learned of the investigation on Tuesday.
	The younger Biden joined the board of Burisma in 2014, around the time his father, then vice-president, was helping conduct the Obama administration's foreign policy with Ukraine. President Donald Trump and his allies have long argued, without evidence, that Hunter Biden's work in Ukraine influenced the Obama administration's policies toward the Eastern European nation.
	Senate Republicans said in a report earlier this year that the appointment may have posed a conflict of interest but did not provide evidence that any policies were directly affected by Hunter Biden's work.
	The president-elect is not believed to be a focus of the investigation. He has not weighed in on the merits of the investigation, saying only to reporters on Friday that he was ""proud of my son.""
	For months, the U.S. attorney's office in Pittsburgh has also been collecting information from Trump's attorney, Rudy Giuliani, and others as part of the Justice Department's process to receive and analyze information related to Ukraine, including documents Giuliani wanted to present to prosecutors that he had been gathering in Ukraine about Joe and Hunter Biden.
	In announcing that process in February, Barr cautioned that the department had to be careful about any information coming from Ukraine, saying: ""There are a lot of agendas in the Ukraine, a lot of cross currents. And we can't take anything we received from Ukraine at face value.""
	The former New York City mayor was a main character when the House voted to impeach Trump. The impeachment inquiry centred on Trump's dealings with Ukraine's president and whether he abused his office by seeking the investigation into the Bidens. Giuliani pressured officials to do the investigations and has been pushing unsubstantiated corruption allegations against the Bidens.
	Giuliani himself had also been under federal investigation, with federal prosecutors in Manhattan examining whether he failed to register as a foreign agent, according to people familiar with the matter. It was unclear whether that investigation remains active as Trump has discussed the possibility of preemptive pardons for some of his family members and close associates, including Giuliani."
"

              Hong Kong's Jimmy Lai denied bail as Pompeo tweets support
          
","
              Jimmy Lai, the 73-year-old Hong Kong media tycoon and advocate for democracy, was denied bail Saturday after being charged the previous day under the semi-autonomous Chinese territory's new national security law.
        ","
                  Saturday, Dec. 12, 2020
                ",https://www.ctvnews.ca/world/hong-kong-s-jimmy-lai-denied-bail-as-pompeo-tweets-support-1.5228661,"HONG KONG -- 
	Jimmy Lai, the 73-year-old Hong Kong media tycoon and advocate for democracy, was denied bail Saturday after being charged the previous day under the semi-autonomous Chinese territory's new national security law.
	Lai faces a charge of collusion with foreign elements to endanger national security, apparently for tweets he made and interviews or commentaries he did with foreign media.
	The Apple Daily, a feisty pro-democracy tabloid owned by Lai, said he is accused of asking a foreign country, organization or individual to impose sanctions or engage in other hostile activities against Hong Kong or China.
	His case was adjourned to April 16 at the request of prosecutors, who said police needed time to review more than 1,000 tweets and comments made on his Twitter account, the Apple Daily reported.
	The newspaper said his charge sheet listed several foreign politicians who followed Lai on Twitter and cited commentaries he wrote and interviews he did with foreign media.
	Lai, who was already being held on other fraud charges after police raided his media company, could be seen handcuffed to a chain around his waist as guards led him to a van to go from prison to court. He wore a navy blazer and an open-neck shirt.
	Beijing imposed the national security law on Hong Kong earlier this year after stormy protests in 2019 that started over an extradition bill and expanded to include demands for greater democracy in the former British colony.
	The new law outlaws secession, subversion, terrorism and collusion with foreign forces to intervene in Hong Kong's affairs. It has constricted free speech in the city, and democracy activists see it as a way to suppress dissent.
	U.S. Secretary of State Mike Pompeo tweeted Saturday morning Asia time that the security law ""makes a mockery of justice."" He called for Lai's release, saying his only crime is speaking the truth about China's authoritarian Communist Party government.
	Lai, the highest-profile person charged under the security law, has also been arrested for other alleged offences this year. He has been charged with taking part in unauthorized protests and with fraud over alleged violations of office lease terms.
	He has advocated for other countries to take a harsher stance on China, and met with Pompeo and Vice-President Mike Pence in the U.S. last year to discuss the extradition bill, which the Hong Kong government eventually withdrew.
	Pence also tweeted about Lai, saying the charges against him are ""an affront to freedom loving people around everywhere."""
"

              Relatives make plea for info on Hong Kong detainees in China
          
","
              Relatives of a dozen Hong Kong residents who have been detained in mainland China for more than 3 1/2 months made a plea Saturday to be informed of the timing of any trials and whether they can attend.
        ","
                  Saturday, Dec. 12, 2020
                ",https://www.ctvnews.ca/world/relatives-make-plea-for-info-on-hong-kong-detainees-in-china-1.5228638,"HONG KONG -- 
	Relatives of a dozen Hong Kong residents who have been detained in mainland China for more than 3 1/2 months made a plea Saturday to be informed of the timing of any trials and whether they can attend.
	The request underscored the sharp contrast between the relatively open legal system in Hong Kong, a semi-autonomous Chinese territory, and that of the mainland, where often little information is divulged until a trial is over.
	""I miss my son so much,"" the mother of Wong Wai-yin, one of the detainees, said, choking up. ""I want to visit him so badly. I haven't seen my son in a very long time -- it's almost four months. Please tell me (about the trial). I'm just an ordinary mother.""
	The 12 were arrested at sea in August while they were apparently making a bid to flee to Taiwan after a tough national security law took effect in Hong Kong earlier this year.
	They were picked up after entering mainland waters for crossing the maritime border without permission. At least some took part in anti-government protests in 2019 and were facing charges in Hong Kong.
	Though Hong Kong is a part of China, travellers must still pass through immigration when going to and from the mainland.
	Two are being held on suspicion of organizing an illegal border crossing. The group has been locked up in Shenzhen, a southern Chinese city that borders Hong Kong.
	The relatives covered their faces with masks, and some wore sunglasses, caps or hoods to hide their identities as they spoke at a news conference. They did not give their names.
	Owen Chow, an activist who has been helping the families, said they wanted to know whether the trials would be open to the public and if family members could attend.
	He and some family members questioned the authenticity of letters some of the latter had received, purportedly from their detained relatives, saying they were being held in a good environment and not abused.
	""The only thing I can do is to have dissatisfaction and be angry,"" said a relative of Tang Kai-yin, another detainee. ""I don't know what else to do."""
"

              As leaders set fresh climate goals, Biden pledges U.S. support
          
","
              U.S. President-elect Joe Biden pledged Saturday to rejoin the Paris climate accord on the first day of his presidency, as world leaders staged a virtual gathering to celebrate the fifth anniversary of the international pact aimed at curbing global warming.
        ","
                  Saturday, Dec. 12, 2020
                ",https://www.ctvnews.ca/sci-tech/as-leaders-set-fresh-climate-goals-biden-pledges-u-s-support-1.5228631,"PARIS -- 
	U.S. President-elect Joe Biden pledged Saturday to rejoin the Paris climate accord on the first day of his presidency, as world leaders staged a virtual gathering to celebrate the fifth anniversary of the international pact aimed at curbing global warming.
	Heads of state and government from over 70 countries took part in the event -- hosted by Britain, France, Italy, Chile and the United Nations -- to announce greater efforts in cutting the greenhouse gas emissions that fuel global warming.
	The outgoing administration of U.S. President Donald Trump, who pulled Washington out of the Paris accord, wasn't represented at the online gathering. But in a written statement sent shortly before it began, Biden made clear the U.S. was waiting on the sidelines to join again and noted that Washington was key to negotiating the 2015 agreement, which has since been ratified by almost all countries around the world. 
	""The United States will rejoin the Paris Agreement on day one of my presidency,"" he said. ""I'll immediately start working with my counterparts around the world to do all that we possibly can, including by convening the leaders of major economies for a climate summit within my first 100 days in office.""
	Biden reiterated his campaign pledge that his administration will set a target of cutting U.S. emissions to net zero ""no later than 2050.""
	Experts say commitments put forward by the international community in the past five years have already improved the long-term outlook on climate change, making the worst-case scenarios less likely by the end of the century. But wildfires in the Amazon, Australia and America, floods in Bangladesh and East Africa, and record temperatures in the Arctic have highlighted the impact an increase of 1.2 degrees Celsius (2.2 Fahrenheit) since pre-industrial times is already having on the planet.
	""If we don't change course, we may be headed for a catastrophic temperature rise of more than 3 degrees (Celsius) this century,"" UN Secretary-General Antonio Guterres said, urging world leaders to declare a ""climate emergency.""
	The Paris agreement aims to cap global warming at well under 2 C (3.6 F), ideally no more than 1.5 C (2.7 F), by the end of the century. Meeting the temperature target will require a phasing-out of fossil fuels and better protection for the world's carbon-soaking forests, wetlands and oceans.
	The UN chief called the announced U.S. return to the Paris accord ""a very important signal.""
	""We look forward for a very active U.S. leadership in climate action from now on,"" Guterres said. ""The United States is the largest economy in the world, it's absolutely essential for our goals to be reached.""
	Biden insisted that the dramatic economic shifts needed would be positive for American workers.
	""We have before us an enormous economic opportunity to create jobs and prosperity at home and export clean American-made products around the world, harnessing our climate ambition in a way that is good for American workers and the U.S. economy,"" he said.
	American representatives at the virtual meeting included Michigan Gov. Gretchen Whitmer, Gov. Charlie Baker of Massachusetts and U.S. business leaders, such as Apple chief executive Tim Cook.
	Also absent from the event were major economies such as Australia, Brazil, Indonesia, Mexico, Russia and Saudi Arabia. Most have offered no significant improvements on their existing emissions targets lately.
	Environmental campaigners singled out Brazil's recent announcement that it will stick to its target of cutting emissions by 43 per cent over the next decade compared with 2005 levels and aim for net zero by 2060 -- later than most other countries.
	By contrast, an agreement Friday by European Union members to beef up the continent's 2030 targets from 40 per cent to at least 55 per cent compared with 1990 levels was broadly welcomed, though activists said it could have aimed even higher.
	China, the world's biggest emitter, also surprised the world in September by announcing a net zero target of 2060, with emissions peaking by 2030. In his speech Saturday, Chinese President Xi Jinping provided further details on his country's medium-term goal for improving energy efficiency and ramping up electricity generated from renewable sources of power such as wind and solar.
	But Xi also cautioned that ""unilateralism will lead us nowhere"" -- a veiled reference to discussions in the EU to impose tariffs on goods imported from countries that have less stringent emissions standards than the 27-nation bloc. The issue is likely to dominate discussion between China, the EU and the U.S. in coming years.
	The Maldives, an Indian Ocean nation made up of low-lying islands that are particularly vulnerable to sea level rise, announced Saturday that it will now aim to achieve net zero by 2030, one of the most ambitious goals worldwide. Bhutan and Suriname claim to have already achieved that goal.
	The 189 countries that are party to the Paris agreement are required to submit their updated targets to the United Nations by the end of the year. This would normally have occurred at the annual UN climate summit, but the event was postponed for a year because of the pandemic.
	The gathering, now scheduled to take place in Glasgow, Scotland, in November 2021, will see haggling over financial support for poor countries to cope with climate change, and fine-tuning the rules for international markets in emissions trading. Britain, next year's host, announced this month that it's aiming to cut emissions by 68 per cent over the next decade and end state support for fossil fuel industry exports.
	Former UN climate chief Christiana Figueres, who was a key player at the Paris negotiations, said leaders had a duty to be optimistic about their ability to curb global warming.
	""Because if we don't, the alternative is unthinkable,"" she said. ""None of us adults alive today want to have on our shoulders the responsibility of turning over a world that is a world of misery for generations to come.""
	------
Frank Jordans reported from Berlin."
"

              One year since COVID-19 hit Wuhan
          
","
              The Chinese city where COVID-19 first emerged is marking a milestone Friday as it has been one year since the first cases of the virus were reported in Wuhan. NBC News' Janis Mackey Frayer reports.
        ","
                  Friday, Dec. 11, 2020
                ",https://www.ctvnews.ca/video?clipId=2099810,
"

              Canadian military not training with Chinese army, defence minister says
          
","
              Canada is no longer training with the Chinese military, the Minister of National Defence Harjit Sajjan told the House of Commons on Thursday, after Conservative defence critic James Bezan questioned why Prime Minister Justin Trudeau would maintain such rel...
        ","
                  Friday, Dec. 11, 2020
                ",https://www.ctvnews.ca/politics/canadian-military-not-training-with-chinese-army-defence-minister-says-1.5227280,"TORONTO -- 
	Canada is no longer training with the Chinese military, the Minister of National Defence Harjit Sajjan told the House of Commons on Thursday, after Conservative defence critic James Bezan questioned why Prime Minister Justin Trudeau would maintain such relations with China.
	The issue came to a head following a report by the Globe and Mail that top officials at Global Affairs, concerned the Chinese government would view it as a retaliatory move over its detention of Michael Kovrig and Michael Spavor, was “alarmed” that General Jonathan Vance cancelled winter military exercises with the People’s Liberation Army in 2019 at CFB Petawawa.
	The news comes as Kovrig and Spavor marked their second anniversary in Chinese prison on what Canada and its Western allies say are unfounded espionage charges that followed Canada’s arrest of Huawei executive Meng Wanzhou on a U.S. extradition warrant in December 2018.
	“Our government always stands up for Canadians at home and abroad and this includes our relationship with China. But let me be very clear, we do not train with Chinese military,” said Minister Sajjan, adding that this initiative was originally put in place by the Conservative government under Stephen Harper.
	“It was the previous government that actually signed a co-operation plan initiative in 2013 under Rob Nicholson, when he was the Minister of National Defence … because of the agreement they had signed, this is one of the reasons why we actually changed our approach because of the concerns the member outlined,” Sajjan said.
	Bezan, who served as Parliamentary Secretary of National Defence under Nicholson at the time, said Canada was engaging in “hostage diplomacy” and that the Chinese government back then “is completely different to the Chinese government today.”
	Conservative leader Erin O’Toole called the joint training exercise a “dangerous path for the Trudeau government to take"" and called Canada's dealings with China a ""dangerously naive approach [that] has put Canada and our citizens at risk.”
	The Canadian Armed Forces have participated in various joint and regional military exercises for decades with some two dozen Pacific Rim countries. Specifically, Canada advanced its bilateral defence relationship with China through talks between senior military officials on both sides in March 2012 and June 2013. The Cooperation Plan Initiative, which would guide defence-related activities, was signed in Ottawa in August 2013.
	China’s President Xi Jinping, who came into power in March 2013, has tightened his control over the country in recent years through mass detention and surveillance of its Muslim population in Xinjiang, a crackdown on activism, heavy Internet censorship, consolidation of power and removal of presidential term limits. He has also taken a more assertive and harder-line approach to foreign affairs and defending China’s interests.
	Meng’s arrest, and the subsequent arrest of Kovrig and Spavor shortly after, soured relations between Canada and China. Trudeau has spoken to U.S. president-elect Joe Biden about the situation, but has not said whether Biden might revisit the Justice Department’s efforts to extradite Meng. Should the U.S. withdraw its charges against Meng, it could give China a reason to release Kovrig and Spavor.
	“We will always stand up for Canadians who are arbitrarily detained. This is one of the reasons why we actually stopped our training with the Chinese,” Sajjan said.
With files from The Canadian Press"
"

              Diverse TV holiday season includes all-Asian Lifetime movie
          
","
              In one scene from the Lifetime TV movie, “A Sugar & Spice Holiday,” a co-worker says to Suzy, an Asian American architect in Los Angeles: “I didn't know if Christmas was a big deal where you're from.”
        ","
                  Friday, Dec. 11, 2020
                ",https://www.ctvnews.ca/entertainment/diverse-tv-holiday-season-includes-all-asian-lifetime-movie-1.5227204,"
	In one scene from the Lifetime TV movie, “A Sugar & Spice Holiday,” a co-worker says to Suzy, an Asian American architect in Los Angeles: “I didn't know if Christmas was a big deal where you're from.”
	Retorts Suzy: “I'm from Maine.”
	A lot of viewers of a cozy Christmas film might just shrug off the insinuation that Suzy is somehow not American. But for an Asian audience, that brief exchange is a knowing reminder that microaggressions don't take a holiday. They especially haven't in the wake of the pandemic, which has triggered anti-Asian racism and terms like “Chinese virus” and “kung flu.”
	“I think it's great timing for us for this movie to be coming out now during the pandemic with the perception of the Asian culture and the `flu' and all,” Canadian actor Jacky Lai, who plays Suzy, told The Associated Press. “I really do hope that this (movie) - with our faces - is able to hopefully be welcomed by people into their homes and see us as just your American/Canadian friends.”
	“A Sugar & Spice Holiday,” premiering Sunday, may be the first feel-good TV Christmas flick to feature a mostly Asian ensemble. It's one of several projects where cable channels are demonstrating a desire for inclusion this yuletide season. The shift comes a year after the Hallmark Channel dropped an ad that included a same-sex couple. The fallout pointed to an overall diversity problem in the genre with not just the LGBTQ community, but communities of colour. Recent months of racial unrest only added to the conversation within the entertainment industry about representation.
	Tia Maggini, vice-president of Lifetime Original Movies, says it was a coincidence that screenwriter Eirene Donohue, who is Asian American and had worked with the them before, came to them with the story pitch.
	“It was exciting to be presented with this particular point of view that has been long overdue for the Christmas movie genre,” Maggini said in a statement. Most important: The movie itself was actually funny and “full of Christmas heart.”
	Indeed, the rom-com has all the warm, familiar holiday movie tropes. Suzy returns to the small town where she grew up for Christmas, is persuaded to revive her baking skills for a local gingerbread house competition and is assisted by her former high school crush (Tony Giroux).
	Her father is played by veteran actor Tzi Ma. Despite a year filled with high profile film roles in “The Farewell” and “Mulan,” Ma didn't hesitate to join a Lifetime movie.
	“It was the first time a Chinese American family was featured on a Christmas story,” Ma said in an email. “Lifetime has a tremendous Asian American following. It's a way to say thank you to them.”
	In Hollywood, it can often feel like studios only cast Asians in narratives where there's some kind of hardship or East-meets-West struggle. And with TV holiday movies, they're almost nonexistent. Meanwhile, there are white actors who have made a baker's dozen of them. Like any other group, Giroux says, Asians deserve to see themselves in lighthearted fare regularly.
	“I think it's so important to have all sorts of stories with any culture - for them to have exposure to the stories of struggle but it's such a delight to see something lighter, to see aspects of culture that aren't surrounded with times of difficulty,” Giroux says.
	Giroux, who is Canadian, is also looking forward to queuing up a movie where his grandparents can see themselves.
	“I'm really excited for them to see a story that covers part of their story. My grandparents immigrated here from China from in the `50s,” Giroux says. “That's why being part of this project is telling a story that I'm really a part of.”
	Lai grew up loving romantic comedies. She remembers unexpectedly getting emotional watching “Crazy Rich Asians,” the first major Hollywood studio film with an all-Asian cast in 25 years.
	“You hear people say there hasn't been a movie like this in 25 years. You hear those things. But it's not until I sat in the theatre and watched someone who looked like me on screen who wasn't a ninja or a nerd but someone just like me. I remember the way it felt,” Lai says. ”I am so excited that there's another movie like that and hopefully we bring joy and open some minds with this movie and more opportunities.“
	The movie is lovingly sprinkled with Chinese American nuances on script and screen. These include a photo of Suzy's deceased grandma flanked by incense sticks and the entire family eating with chopsticks. And it is definitely the only Christmas movie to feature both gingerbread and stinky tofu, a beloved Chinese dish known for its pungent smell.
	“I love that we were able to kind of include a lot of nice details. ... It's really a romantic comedy where the characters happen to be Asian American,” says Jennifer Liao, the director. “It's nice to make an Asian American movie that's not necessarily completely frontloaded with having to carry the weight of cultural identity issues and things like that.”
	“Sugar & Spice” is not the only holiday movie expanding the definition of who can lead these kinds of flicks. A handful of networks, including Lifetime and Hallmark, have a Christmas-themed movie on their slate featuring a same-sex pairing. Tony winner Ali Stroker, who uses a wheelchair, stars in Lifetime's “Christmas Ever After.”
	Does Liao feel pressure as “the first” even on such an innocuous project to bring in a sizeable audience? “I feel like the pressure is more to deliver something that I and everybody else worked on can be proud of. That was really no. 1,” Liao says.
	Lai doesn't see the point of getting caught up in things like ratings.
	“I think that it is really, really nice to hear when someone says `I got to see someone who looks like me on screen.' That will never get old,” Lai says. “We get more responses like that - for me, the movie did its purpose.”
Terry Tang reported from Phoenix and is a member of The Associated Press' Race and Ethnicity team."
"

              India accuses China of responsibility for border tensions
          
","
              India on Friday rejected a Chinese allegation that it is responsible for high tensions along their disputed border. Indian External Affairs Ministry spokesman Anurag Srivastava said the six-month standoff between the two countries' armies ""has been a resul...
        ","
                  Friday, Dec. 11, 2020
                ",https://www.ctvnews.ca/world/india-accuses-china-of-responsibility-for-border-tensions-1.5227093,"NEW DELHI -- 
	India on Friday rejected a Chinese allegation that it is responsible for high tensions along their disputed border.
	Indian External Affairs Ministry spokesman Anurag Srivastava said the six-month standoff between the two countries' armies ""has been a result of the actions of the Chinese side, which has sought to effect a unilateral change in the status along the Line of Actual Control in Eastern Ladakh.""
	Srivastava was responding to a statement by Chinese Foreign Ministry spokesperson Hua Chunying in Beijing on Thursday that ""the rights and wrongs of what has happened in the China-India border area are very clear and the responsibility lies squarely with the Indian side.""
	Hua also said that China is firmly committed to safeguarding its sovereignty. ""We hope that India will work with China in the same direction and do more things conducive to solidarity, co-operation and common development,"" she said.
	The standoff between the Asian giants erupted into a fierce brawl in May and worsened into hand-to-hand combat on June 15 with soldiers using clubs, stones and fists, leaving 20 Indian troops dead. China is believed to also have suffered casualties, but has not given any details.
	The countries have held a series of talks on ending the standoff without any breakthrough."
"

Chinese authorities detain Bloomberg news assistant
          
","
              U.S. financial news service Bloomberg said Friday that Chinese authorities have detained one of its Beijing-based news assistants on what they said was suspicion of endangering national security.
        ","
                  Friday, Dec. 11, 2020
                ",https://www.ctvnews.ca/world/chinese-authorities-detain-bloomberg-news-assistant-1.5226961,"BEIJING -- 
	U.S. financial news service Bloomberg said Friday that Chinese authorities have detained one of its Beijing-based news assistants on what they said was suspicion of endangering national security.
	Bloomberg reported that Chinese citizen Haze Fan was seen being taken from her apartment building accompanied by security officers in plain clothes at about noon on Monday, shortly after her last contact with her editors.
	It quoted a Chinese government statement as saying Fan was detained by the Beijing branch of the National Security Bureau ""according to relevant Chinese law on suspicion of engaging in criminal activities that jeopardize national security.""
	China permits Chinese citizens to work only as translators, researchers and assistants for foreign news organizations, not as registered journalists able to report independently. China's own media are almost entirely state owned and tightly controlled, and the country has long been one of the leading jailers of journalists.
	Bloomberg said it has been seeking information about Fan's whereabouts from the Chinese government and from China's embassy in Washington, D.C.
	It said its parent company, Bloomberg LP, was informed Thursday that she was being held on suspicion of endangering national security, a vaguely defined charge that can lead to lengthy detention with little recourse to legal assistance.
	""We are very concerned for her, and have been actively speaking to Chinese authorities to better understand the situation. We are continuing to do everything we can to support her while we seek more information,"" a Bloomberg spokesperson was quoted as saying in the report.
	Fan began working for Bloomberg in 2017 after stints with a number of other foreign news organizations in China, the company said.
	China has detained news assistants in the past over reports that angered the ruling Communist Party, and authorities have also sought to punish foreign media more generally by limiting their operations, expelling journalists or issuing them only short-term visas.
	China this year expelled journalists from The Washington Post, The Wall Street Journal and other American outlets amid complaints over content and moves by the U.S. to send home dozens of Chinese journalists working for state media.
	Bloomberg saw its business in financial information suffer in China several years ago in apparent retaliation for its reporting on the personal financial dealings of leading Chinese officials."
"

              China's auto sales rise in November, but down for the year
          
","
              China's sales of SUVs, minivans and sedans rose by double digits in November as the country recovered from the coronavirus pandemic, but were below pre-virus levels for the year, an industry group reported Friday.
        ","
                  Friday, Dec. 11, 2020
                ",https://www.ctvnews.ca/business/china-s-auto-sales-rise-in-november-but-down-for-the-year-1.5226907,"BEIJING -- 
	China's sales of SUVs, minivans and sedans rose by double digits in November as the country recovered from the coronavirus pandemic, but were below pre-virus levels for the year, an industry group reported Friday.
	Sales in the industry's biggest global market rose 11.6% over a year earlier to 2.3 million, according to the China Association of Automobile Manufacturers. Total vehicle sales, including trucks and buses, rose 12.6% to 2.8 million, holding steady at October's growth rate.
	From January to November, passenger vehicle sales were off 7.6% from the same period of 2019, at 17.8 million. Sales of commercial vehicles rose 20.6% to 4.7 million.
	Full-year auto sales are on track to decline for a third year after hitting a peak in 2017.
	China, where the pandemic began in December, became the first country to reopen its economy after the disease was declared under control in March.
	November sales of all-electric and gasoline-electric hybrid vehicles more than doubled, rising 104.9% over a year earlier. Sales in the first 11 months of 2020 edged back above pre-virus levels, rising 3.9% over a year earlier.
	Auto demand already was weak before China closed factories and dealerships in February to fight the coronavirus. Consumers are uneasy about slowing economic growth and a tariff war with Washington.
	That hurts global automakers that are looking to China to propel sales growth and are spending heavily to develop electric vehicles under pressure to meet Chinese government sales quotas."
