title,description,publishtime,url,content
"As Canadians sour on China, an ambassador changes his tone | CBC News","Dominic Barton, Canada's ambassador to China, made his first appearance at the China committee this week since before the pandemic hit Canada. He was noticeably less forgiving of Beijing and less bullish on business opportunities than last time — perhaps reflecting a turn against China in public opinion.",2020-12-10T09:00:00.000Z,http://www.cbc.ca/news/politics/china-kovrig-spavor-dominic-barton-1.5835036,"Today marks two years since the two Michaels were detained by China.It's also been ten long pandemic months since Canada's ambassador to Beijing, Dominic Barton, made his previous appearance before the Commons subcommittee on Canada-China relations. Tuesday's second round of that hearing showed how much the mood around China has changed during 2020. Barton appeared conscious of the need to make some repairs to the impression he left in February, when his testimony drew unusually direct criticism from former diplomats with experience working in China.Back then, Barton suggested that it was incumbent upon Canadians to recognize that ""China values unity and the needs of society at large, rather than freedom of individual choice ... we just have to understand that.""Former diplomat and China expert Charles Burton told the subcommittee that Barton's words parroted Communist Party propaganda asserting that Chinese culture is inherently averse to liberty and democracy — when in fact the aversion comes from Xi Jinping's Politburo.Watch: Trudeau says government will examine all options to bring Michael Spavor and Michael Kovrig.:Politics NewsIn his Tuesday appearance, however, Barton opened with remarks on ""our efforts to promote rights and freedoms in China.""""We are concerned by the decline of civil and political rights in China,"" he told MPs.Barton began his appearance with a lengthy description of a recent visit to the Tibet Autonomous Region, which he toured in a party of foreign diplomats. It was one of two closely-supervised Tibetan tours put on for mostly western diplomats this year, a sign that the Communist Party — bravado notwithstanding — still cares about what western countries say regarding its human rights record.It may also have been an attempt to switch foreign attention to Tibet from the even more problematic neighbouring region of Xinjiang, where China's heavy-handed persecution of the Muslim Uighur people is opening new fronts for confrontation with the West.Barton said that he had consulted with pro-Tibet groups and academics in Canada before accepting the trip, which he said he undertook partly to show Tibetans the world was still concerned about their plight.In addition to discussing what he'd seen on the tour — which took in a school, a monastery and greenhouses — Barton also talked about the motives of the Communist Party in allowing the trip. He said he understood that ""what I saw was not the complete picture on any issue"" and described one effort to escape his minders — when he left his hotel at 5 a.m. for an unaccompanied stroll through the streets of Lhasa.Barton once famously described himself as ""a bull on China"" and his entire pre-diplomatic career was built on viewing China primarily as a business opportunity.During his last committee appearance, Barton told members he ""would love to talk more about promoting trade and investment. I probably should shut up and move on, but I'm very excited by the opportunity we have on many fronts.""This time, he took his own advice and left out the economic boosterism — suggesting that the ambassador had not only learned to read the room but perhaps understood how the ground had shifted under him.""Countries all around the world are evolving their approach to China,"" he told the subcommittee Tuesday night. That's certainly true in Europe, where both public attitudes and government approaches to China have become considerably tougher over the course of 2020. Shachi Kurl of the Angus Reid Institute said Barton's changed tone also reflects new realities at home.""This isn't just about Canada and Ambassador Barton aligning with the Western consensus,"" she told CBC's Power and Politics. ""It really is about aligning with the Canadian consensus, because for several years we have seen a deterioration, and then a deterioration, and then a further deterioration in Canadian views of the Beijing regime.""Opinion polls do show a crashing decline in China's standing in Canadian public opinion, reaching what Kurl calls ""an all-time low"" as 2020 draws to a close.""You now find among the Canadian population a bloody-mindedness that says, 'You know what? This is not OK,'"" she said. ""This is about more than the human rights situation, this is about more than events in Hong Kong. What has really viscerally affected Canadians is the kidnapping of the two Michaels.""Obviously, the detention of Kovrig and Spavor was always intended by Beijing to be a pressure tactic — not a play for hearts and minds. But it hasn't worked as a pressure tactic and has instead backfired disastrously upon China's public image.Would the CCP judge the strategy wise in hindsight, or consider it a failure? Either way, the need to save face makes it hard for the Communist Party — famously averse to backing down on anything — to alter its course now.During his committee appearance, Barton praised the two Canadians for their resilience, which he said was an inspiration to him.Barton was eager to mend fences when asked about another Canadian detainee: Huseyin Celil, a Uighur rights activist from Burlington, Ont. who was snatched on behalf of Chinese authorities while visiting Uzbekistan 14 years ago, whisked across the border and given a life sentence.When asked about the case in February, Barton said he had not been able to visit Celil because Celil was not a Canadian citizen. Once again, he was echoing a view espoused by the government of China, which has refused to recognize the fact that Celil has been a Canadian citizen since 2001. Foreign Minister Francois-Philippe Champagne was forced to correct the record in the House of Commons a few days after Barton's misstatement.Two former ambassadors to China condemned Barton's mischaracterization of Celil. ""China doesn't get to determine who is or becomes a Canadian citizen,"" said David Mulroney, who represented Canada in Beijing from 2009 to 2012.This time, Barton described the steps he had taken to reach out to the Celil family in the wake of that embarrassing incident.There is still no sign of progress in Celil's case, however. His detention differs from that of Kovrig and Spavor in that Celil was not seized as a bargaining chip to pressure Canada, and his case predates the Huawei dispute.Instead, Celil's detention intersects with another issue that has raised tensions between China and Canada — one that also came up in one of the tenser moments in this week's meeting between Barton and MPs.Conservative MP Garnett Genuis pressed Barton to make a clear statement on China's suppression of its Uighur minority, who are concentrated in the far western Xinjiang region.He read out the recent words of the Trudeau government's newish ambassador to the UN, Bob Rae, who told CBC News ""there's no question that there's aspects of what the Chinese are doing that fits into the definition of genocide in the genocide convention."" Did Barton agree with that statement? The ambassador refused to be pinned down, saying that while the situation was ""very, very concerning,"" more reports from the area were needed.Rights activists are particularly suspicious of Barton on this file because the company he headed, McKinsey, earned a reputation for indifference to Uighur suffering while eagerly promoting the Chinese government's economic plans for their homeland.The company defended itself but faced harsh criticism — even from the traditional business press.""I think we need to see the reports,"" Barton said. ""I haven't talked to Ambassador Rae about the particular evidence he has on that side.""""We need to have independent people on the ground who can go wherever they want"" in Xinjiang in order to determine what's happening, he added. Genuis was skeptical. ""We'd love to get access,"" he said. ""I think there's realities in terms of whether that's ever going to be given.""""Is Mr. Rae's statement consistent with the government's policy, or is yours?"" Genuis asked.Barton minimized the gap between the two, arguing that Rae was also seeking more investigation. A noticeable difference remained, however, in how the two men described the situation."
Two years of the Michaels’ imprisonment in China. Iconic song lyrics.,"Former diplomat Colin Robertson joins us to talk about Canadians Michael Kovrig & Michael Spavor imprisonment in China who have now been detained for two years. Then we’re joined by Juno award-winning hip hop artist Shad and CBC’s Lisa Christiansen to talk about the best, most unforgettable, and most iconic song lyrics.",2020-12-10T05:00:00.000Z,http://www.cbc.ca/player/play/1830297667981,Not Text Type
"Canada should impose sanctions on China, says U.S. Sen. Chris Coons",U.S. Sen. Chris Coons says the United States would welcome a move by Canada to impose sanctions against China.,2020-12-10T01:10:20.000Z,http://www.cbc.ca/player/play/1829876291925,Not Text Type
"CBC Gem - Power & Politics - Canada approves Pfizer-BioNTech vaccine, nearly two years since Michaels detained in China","December 9, 2020 - The Power Panel on the approval of the Pfizer-BioNTech vaccine. Plus, Michael Kovrig's wife Vina Nadjibulla and his employer Robert Malley nearly two years after his arrest.",2020-12-10T05:54:34.000Z,http://gem.cbc.ca/media/power-politics/canada-approves-pfizer-bio-n-tech-vaccine-nearly-two-years-since-michaels-detained-in-china/44b8224-01374cbd1f1,Not Text Type
Two years of the Michaels’ imprisonment in China. Iconic song lyrics. | BC Today with Michelle Eliot | Live Radio | CBC Listen,"Former diplomat Colin Robertson joins us to talk about Canadians Michael Kovrig & Michael Spavor imprisonment in China who have now been detained for two years. Then we’re joined by Juno award-winning hip hop artist Shad and CBC’s Lisa Christiansen to talk about the best, most unforgettable, and most iconic song lyrics.",2020-12-10T05:00:00.000Z,http://www.cbc.ca/listen/live-radio/1-4-bc-today/clip/15813520-two-years-michaels-imprisonment-china.-iconic-song-lyrics.,Not Text Type
"Canada approves Pfizer-BioNTech vaccine, nearly two years since Michaels detained in China","December 9, 2020 - The Power Panel on the approval of the Pfizer-BioNTech vaccine. Plus, Michael Kovrig's wife Vina Nadjibulla and his employer Robert Malley nearly two years after his arrest.",2020-12-09T23:00:00.000Z,http://www.cbc.ca/player/play/1829916227907,Not Text Type
Hong Kong media tycoon Jimmy Lai charged under national security law: reports | CBC News,"Hong Kong democracy activist and media tycoon Jimmy Lai has been charged under the city's national security law on suspicion of colluding with foreign forces and endangering national security, local media reported on Friday, citing unnamed sources.",2020-12-11T07:50:40.000Z,http://www.cbc.ca/news/world/lai-charged-hongkong-1.5837177,"Hong Kong democracy activist and media tycoon Jimmy Lai, 73, has been charged under the city's national security law on suspicion of colluding with foreign forces, his Apple Daily newspaper reported on Friday, citing a police source.Lai, an ardent critic of Beijing, would be the highest profile person charged under the sweeping new law imposed on the Chinese-ruled city in June.He was due to appear in court on Saturday, according to Apple Daily, a popular tabloid known for its feisty and critical coverage of China and Hong Kong.The security law, which punishes what Beijing broadly defines as secession, subversion, terrorism and collusion with foreign forces with up to life in jail, has been condemned by the West and human rights groups as a tool to crush dissent in the semi-autonomous, Chinese-ruled city.Authorities in Hong Kong and Beijing say it is vital to plug gaping holes in national security defences exposed by months of sometimes violent anti-government and anti-China protests that rocked the global financial hub over the last year.""The goal is to hold Jimmy Lai, and shut Jimmy Lai up,"" Mark Simon, an associate of Lai, told Reuters.Hong Kong police did not immediately respond to a request for comment.The publishing tycoon is one of the financial hub's most prominent democracy activists, while his Next Media group is considered one of the key remaining bastions of media freedoms in Hong Kong.Tensions between China and the United States have escalated in recent weeks as Washington accuses Beijing of using the security law to trample wide-ranging freedoms guaranteed when the former British colony returned to Chinese rule in 1997.Authorities have intensified a crackdown on opposition forces in the city, dismissing lawmakers from the legislature, conducting widespread arrests and jailing high-profile democracy activists such as Joshua Wong.Lai was denied bail earlier this month following his arrest on a separate charge of fraud related to the lease of a building that houses his Apple Daily, an anti-government tabloid.He was arrested in August when about 200 police officers swooped on his offices. Hong Kong police later said they had arrested nine men and one woman for suspected offences including ""collusion with a foreign country/external elements to endanger national security, conspiracy to defraud"" and others.The tycoon had been a frequent visitor to Washington, where he has met officials, including Secretary of State Mike Pompeo, to rally support for Hong Kong democracy, prompting Beijing to label him a ""traitor."""
"China's Sinopharm vaccine 86% effective, say United Arab Emirates officials | CBC News","The United Arab Emirates said Wednesday a Chinese coronavirus vaccine tested in the federation of sheikdoms is 86 per cent effective, in a statement that provided few details but marked the first public release of information on the efficacy of the shot.",2020-12-09T11:57:30.000Z,http://www.cbc.ca/news/world/vaccine-sinopharm-uae-1.5833823,"The United Arab Emirates said Wednesday a Chinese coronavirus vaccine tested in the federation of sheikdoms is 86 per cent effective, in a statement that provided few details but marked the first public release of information on the efficacy of the shot.The announcement brought yet another shot into the worldwide race for a vaccine to end the pandemic, a scientific effort that has seen China and Russia compete with Western firms for an effective inoculation. While questions remain about the Sinopharm shot, already at least one country outside China plans to roll it out in a mass-vaccination campaign.The U.A.E., home to Dubai and Abu Dhabi, conducted a trial beginning in September of the vaccine by Chinese state-owned pharmaceutical giant Sinopharm involving 31,000 volunteers from 125 nations. Volunteers between 18 and 60 years old received two doses of the vaccine over 28 days.The U.A.E.'s Health and Prevention Ministry announced the results via a statement on the state-run WAM news agency, saying it has ""reviewed Sinopharm CNBG's interim analysis of the Phase III trials.""""The analysis shows no serious safety concerns,"" the statement said, without detailing whether any participant suffered side effects.It wasn't immediately clear if the announced results included only those taking part in the testing in the UAE or if they also include results from China and elsewhere. The statement described the vaccine as receiving ""official registration"" without elaborating on what that meant.Emirati officials and Sinopharm did not respond to questions from The Associated Press.However, calls Wednesday to SEHA, the Abu Dhabi health authority, included an option for individuals to schedule an appointment to receive a ""COVID-19 vaccine."" The centre was swamped with calls following the announcement on the vaccine's efficacy.The Sinopharm vaccine has been approved for emergency use in a few countries and the company is still conducting late-stage clinical trials in 10 countries. Morocco is gearing up for an ambitious COVID-19 vaccination program, aiming to vaccinate 80 per cent of its adults in an operation starting this month that's relying initially on the Sinopharm vaccine.Sinopharm's shot relies on a tested technology, using a killed virus to deliver the vaccine, similar to how polio immunizations are made. Leading Western competitors, like the shot made by Pfizer and its German partner BioNTech, use newer, less-proven technology to target the coronavirus's spike protein using RNA. The United Kingdom already has begun vaccinating people with the Pfizer shot.WATCH | Inside the scramble to mass produce a COVID-19 vaccine:The NationalTop officials in the UAE, including Dubai's ruler, Sheikh Mohammed bin Rashid Al Maktoum, have publicly received the shots as part of the vaccine testing.Already, Pfizer reports its shot as being 95 per cent effective, while another RNA candidate from Moderna appears to be 94.5 per cent effective. Results suggest a third vaccine from Oxford University and AstraZeneca is safe and about 70 per cent effective, but questions remain about how well it may help protect those over 55.In transport, Pfizer says its vaccine must be stored in a freezer at –80 C to –60 C or in a thermal container at –90 C to –60 C. The Moderna vaccine must remain at a temperature of –20 C.The Sinopharm vaccine is believed to be able to travel at a temperature of 2 C to 8 C, a major draw for areas of the world where nearly three billion people live without stable electricity and refrigeration. In November, the Communist Party secretary for Sinopharm said almost one million people in China had received its vaccine.Since the pandemic began, the UAE has detected over 178,000 cases of the virus, with 160,000 recoveries and nearly 600 deaths. Its aggressive testing policy has seen over 17 million tests conducted in a country home to just over nine million people."
"Canada approves Pfizer-BioNTech vaccine, nearly two years since Michaels detained in China","Power & Politics for Wednesday, December 9th with Health Canada Chief Medical Adviser Dr. Supriya Sharma, BioNTech Chief Business & Chief Commercial Officer Sean Marett, COVID-19 Immunity Task Force Co-Chair Dr. David Naylor, Michael Kovrig's wife Vina Nadjibulla and employer Robert Malley, and the Power Panel.",2020-12-09T05:00:00.000Z,http://www.cbc.ca/player/play/1829883971772,Not Text Type
"China's reaction to Meng arrest 'close to barbaric,' says John Bolton.","""If this is the way China behaves before their power increases further in the world, imagine how it will behave after that,"" said former U.S. national security adviser John Bolton.",2020-12-08T21:07:45.000Z,http://www.cbc.ca/player/play/1829217347631,Not Text Type
