title,description,publishtime,url
Canada's ties to China's military underscore the weird contradictions in its foreign policy | CBC News,It's been obvious for some time that there is something a little weird about the way Canada approaches its relationship with China — a disconnect brought into sharp relief this week by the news that Global Affairs and the Department of National Defence were not the same page when it came to military ties and training involving the People’s Liberation Army.,2020-12-12T09:00:00.000Z,www.cbc.ca/news/politics/canada-china-pla-peoples-liberation-army-1.5838658
2 years since Canadians arrested in China,"CBC News Network's Sarah Galashan spoke with Kevin and Julia Garratt, former detainees in China, about their experience and their reaction to Michael Kovrig and Michael Spavor marking two years in jail.",2020-12-11T01:52:41.000Z,www.cbc.ca/player/play/1830449219677
"Quest for the Best: Here's the top ginger beef in Calgary, says restaurant critic | CBC News","The Calgary Eyeopener's restaurant reviewer, Elizabeth Carson, went on a hunt for the best ginger beef in Calgary and the results are in.",2020-12-12T15:00:00.000Z,www.cbc.ca/news/canada/calgary/ginger-beef-food-critic-calgary-1.5838147
CBC Gem - What's With The Jews? - What's With The Jews?,"The stunning scientific, social, and artistic accomplishments of the Jews raise an obvious question: How do they do it?",2020-12-12T14:48:22.000Z,gem.cbc.ca/media/whats-with-the-jews/whats-with-the-jews/38e815a-0135e705611
"As Canadians sour on China, an ambassador changes his tone | CBC News","Dominic Barton, Canada's ambassador to China, made his first appearance at the China committee this week since before the pandemic hit Canada. He was noticeably less forgiving of Beijing and less bullish on business opportunities than last time — perhaps reflecting a turn against China in public opinion.",2020-12-10T09:00:00.000Z,www.cbc.ca/news/politics/china-kovrig-spavor-dominic-barton-1.5835036
"Canada should impose sanctions on China, says U.S. Sen. Chris Coons",U.S. Sen. Chris Coons says the United States would welcome a move by Canada to impose sanctions against China.,2020-12-10T01:10:20.000Z,www.cbc.ca/player/play/1829876291925
Two years of the Michaels’ imprisonment in China. Iconic song lyrics.,"Former diplomat Colin Robertson joins us to talk about Canadians Michael Kovrig & Michael Spavor imprisonment in China who have now been detained for two years. Then we’re joined by Juno award-winning hip hop artist Shad and CBC’s Lisa Christiansen to talk about the best, most unforgettable, and most iconic song lyrics.",2020-12-10T05:00:00.000Z,www.cbc.ca/player/play/1830297667981
"Canada approves Pfizer-BioNTech vaccine, nearly two years since Michaels detained in China","December 9, 2020 - The Power Panel on the approval of the Pfizer-BioNTech vaccine. Plus, Michael Kovrig's wife Vina Nadjibulla and his employer Robert Malley nearly two years after his arrest.",2020-12-09T23:00:00.000Z,www.cbc.ca/player/play/1829916227907
"CBC Gem - Power & Politics - Canada approves Pfizer-BioNTech vaccine, nearly two years since Michaels detained in China","December 9, 2020 - The Power Panel on the approval of the Pfizer-BioNTech vaccine. Plus, Michael Kovrig's wife Vina Nadjibulla and his employer Robert Malley nearly two years after his arrest.",2020-12-10T05:54:34.000Z,gem.cbc.ca/media/power-politics/canada-approves-pfizer-bio-n-tech-vaccine-nearly-two-years-since-michaels-detained-in-china/44b8224-01374cbd1f1
Two years of the Michaels’ imprisonment in China. Iconic song lyrics. | BC Today with Michelle Eliot | Live Radio | CBC Listen,"Former diplomat Colin Robertson joins us to talk about Canadians Michael Kovrig & Michael Spavor imprisonment in China who have now been detained for two years. Then we’re joined by Juno award-winning hip hop artist Shad and CBC’s Lisa Christiansen to talk about the best, most unforgettable, and most iconic song lyrics.",2020-12-10T05:00:00.000Z,www.cbc.ca/listen/live-radio/1-4-bc-today/clip/15813520-two-years-michaels-imprisonment-china.-iconic-song-lyrics.
