title,description,publishtime,url,content
Canada's ties to China's military underscore the weird contradictions in its foreign policy | CBC News,It's been obvious for some time that there is something a little weird about the way Canada approaches its relationship with China — a disconnect brought into sharp relief this week by the news that Global Affairs and the Department of National Defence were not on the same page when it came to military ties and training involving the People’s Liberation Army.,2020-12-12T09:00:00.000Z,http://www.cbc.ca/news/politics/canada-china-pla-peoples-liberation-army-1.5838658,"It's been obvious for some time that there is something weird about the way Canada approaches its relationship with China — a disconnect brought into sharp relief this week by the news that Global Affairs and the Department of National Defence were not on the same page when it came to military ties and training involving the People's Liberation Army.In some respects, the volcanic online political eruption which followed stories in The Globe and Mail and other media outlets, based on exclusive access to information documents, was predictable, as was the flurry of finger-pointing in the House of Commons on Thursday and Friday.Diplomats were alarmed when Gen. Jonathan Vance, the country's senior military commander, cancelled winter military exercises with the PLA in 2019, fretting that it might aggravate Beijing or make the lives of Michael Kovrig and Michael Spavor even worse.It makes for fire-breathing memes, sizzling copy and wonderful political theatre.What's missing, though, is a recognition that Canada's policy toward a rising China has been contradictory and incoherent for almost a decade, maybe more, said Charles Burton, a political scientist at Brock University in St. Catharines, Ont. and a respected China expert at the Macdonald-Laurier Institute.""Cabinets were always split on China, whether it's Liberal or Conservative,"" Burton said, referring to debates more than three decades ago during the government of former prime minister Brian Mulroney.It is more urgent than ever, in the context of an increasingly belligerent and assertive China, to present a united political front, he added.""This is really about the defence of our sovereignty and security on matters over which there is consensus across the political spectrum in Canada,"" he said.Defence Minister Harjit Sajjan, in an attempt at political damage control late this week, made a point of saying that Chinese troops are no longer training for winter warfare at Garrison Petawawa, Ont.He also (rather meekly) noted that the exchange and training program with the PLA was instituted in August 2013 under the Conservatives while defence critic James Bezan, one of the most vocal and fiery opponents this week, was parliamentary secretary of defence.Bezan's retort was along the lines of that was then, this is now.""The defence minister knows full well that the Chinese government back then and the Chinese government today are completely different,"" Bezan said during question period on Thursday.It was a different time, no question.Chinese President Xi Jinping had taken office only a few months before, and the Department of National Defence (DND) tasking order that established the exchange program, obtained by CBC News under access to information, noted that working with the PLA ""complements the Government of Canada led efforts to broaden our bilateral relationship with China.""After years of hectoring and hammering China, the Conservatives — under former prime minister Stephen Harper — had decided that limited engagement was the way to go.And here is where Canada's curious incoherence comes into play.At precisely the moment the former chief of the defence staff, the now-retired general Tom Lawson, was penning the Canadian military's marching orders on closer cooperation with the PLA, the foreign affairs ministry — led at the time by John Baird — was firing off flares about China's unilateral declaration of an air defence zone in the East China Sea.It was a bellwether moment.""The U.S. has indicated deep concern over the establishment of the Chinese ADIZ stating that the U.S. views this development as a destabilizing attempt to alter the status quo in the region and that this move increases the risk of misunderstanding and miscalculations,"" said a Nov. 23, 2013 briefing note to Baird, obtained by CBC News in 2017.""More broadly, the rise of China is reshaping the strategic landscape.""Burton said the rise of President Xi marked the beginning of the new, more aggressive China. The establishment of the air zone — now largely forgotten against a backdrop of fortified artificial islands in the South China Sea, reports of Uyghurs in concentration camps and the haze of tear gas in Hong Kong — marked the first step.So were our politicians and senior leaders paying attention not only to events, but to what other federal departments were saying?According to what former foreign affairs minister (and current finance minister) Chrystia Freeland had to say in question period this week, the answer is yes.""I have long personal experience reporting on authoritarian communist regimes and I am very aware of the threat they pose,"" she said.Here's the question no one seemed to ask this week: why was the military exchange and training program still going on even before hostage diplomacy swept up the two Michaels?National Defence is no stranger to suspicions about China, having spent an enormous amount of time quietly defending itself from cyberattacks purportedly launched by  Beijing or by groups associated with it.The Trump administration has been tightening the screws on China from a diplomatic, security and trade perspective. There has been considerable, growing debate among Western allies — led by the Americans — about the downside of military engagement and co-operation with China, with Five Eyes intelligence partners each exchanging their own warnings — a series of discussions that eventually prompted Canada's current top military commander, Gen. Jonathan Vance, to cancel the winter warfare exercises.And then, of course, there's debate over the telecom giant Huawei and its future in this country.The signs were all there, Burton said — but no one actually woke up to the problem until Kovrig and Spavor were imprisoned. The public has been galvanized, he added, but ""it doesn't seem to have penetrated fully to the senior levels of the political and economic elite.""Burton said that — as weird as it might sound, with everything else that has happened — he believes there are some within the Canadian Establishment who still cling to the notion that if the ""consular cases of Spavor and Kovrig are resolved, we can go back"" to business as usual."
2 years since Canadians arrested in China,"CBC News Network's Sarah Galashan spoke with Kevin and Julia Garratt, former detainees in China, about their experience and their reaction to Michael Kovrig and Michael Spavor marking two years in jail.",2020-12-11T01:52:41.000Z,http://www.cbc.ca/player/play/1830449219677,Not Text Type
CBC Gem - Documentary Specials - Clydesdale: Saving the Greatest Horse,One woman’s passionate quest to the Canadian Prairies to rescue Scotland’s Clydesdale horse from the edge of extinction.,2020-12-13T05:52:27.000Z,http://gem.cbc.ca/media/documentary-specials/season-1/episode136/38e815a-01368faa608,Not Text Type
CBC Gem - Road to the Olympic - Road to the Olympic Games: Freestyle Skiing World Cup on CBC: Moguls - Idre Fjäll,"Watch action from the World Cup event in Fjäll, Sweden.",2020-12-13T06:12:10.000Z,http://gem.cbc.ca/media/road-to-the-olympic/road-to-the-olympic-games-freestyle-skiing-world-cup-on-cbc-moguls-idre-fjall/44b8224-013769e2e02,Not Text Type
CBC Archives,"CBC Digital Archives has an extensive amount of content from Radio and Television, covering a wide range of topics.",2020-12-13T06:53:09.000Z,http://www.cbc.ca/archives/categories/politics/international-politics/canada-and-the-fight-against-apartheid/diefenbaker-wins-fish-and-chips-for-apartheid-stand,Not Text Type
"As Canadians sour on China, an ambassador changes his tone | CBC News","Dominic Barton, Canada's ambassador to China, made his first appearance at the China committee this week since before the pandemic hit Canada. He was noticeably less forgiving of Beijing and less bullish on business opportunities than last time — perhaps reflecting a turn against China in public opinion.",2020-12-10T09:00:00.000Z,http://www.cbc.ca/news/politics/china-kovrig-spavor-dominic-barton-1.5835036,"Today marks two years since the two Michaels were detained by China.It's also been ten long pandemic months since Canada's ambassador to Beijing, Dominic Barton, made his previous appearance before the Commons subcommittee on Canada-China relations. Tuesday's second round of that hearing showed how much the mood around China has changed during 2020. Barton appeared conscious of the need to make some repairs to the impression he left in February, when his testimony drew unusually direct criticism from former diplomats with experience working in China.Back then, Barton suggested that it was incumbent upon Canadians to recognize that ""China values unity and the needs of society at large, rather than freedom of individual choice ... we just have to understand that.""Former diplomat and China expert Charles Burton told the subcommittee that Barton's words parroted Communist Party propaganda asserting that Chinese culture is inherently averse to liberty and democracy — when in fact the aversion comes from Xi Jinping's Politburo.Watch: Trudeau says government will examine all options to bring Michael Spavor and Michael Kovrig.:Politics NewsIn his Tuesday appearance, however, Barton opened with remarks on ""our efforts to promote rights and freedoms in China.""""We are concerned by the decline of civil and political rights in China,"" he told MPs.Barton began his appearance with a lengthy description of a recent visit to the Tibet Autonomous Region, which he toured in a party of foreign diplomats. It was one of two closely-supervised Tibetan tours put on for mostly western diplomats this year, a sign that the Communist Party — bravado notwithstanding — still cares about what western countries say regarding its human rights record.It may also have been an attempt to switch foreign attention to Tibet from the even more problematic neighbouring region of Xinjiang, where China's heavy-handed persecution of the Muslim Uighur people is opening new fronts for confrontation with the West.Barton said that he had consulted with pro-Tibet groups and academics in Canada before accepting the trip, which he said he undertook partly to show Tibetans the world was still concerned about their plight.In addition to discussing what he'd seen on the tour — which took in a school, a monastery and greenhouses — Barton also talked about the motives of the Communist Party in allowing the trip. He said he understood that ""what I saw was not the complete picture on any issue"" and described one effort to escape his minders — when he left his hotel at 5 a.m. for an unaccompanied stroll through the streets of Lhasa.Barton once famously described himself as ""a bull on China"" and his entire pre-diplomatic career was built on viewing China primarily as a business opportunity.During his last committee appearance, Barton told members he ""would love to talk more about promoting trade and investment. I probably should shut up and move on, but I'm very excited by the opportunity we have on many fronts.""This time, he took his own advice and left out the economic boosterism — suggesting that the ambassador had not only learned to read the room but perhaps understood how the ground had shifted under him.""Countries all around the world are evolving their approach to China,"" he told the subcommittee Tuesday night. That's certainly true in Europe, where both public attitudes and government approaches to China have become considerably tougher over the course of 2020. Shachi Kurl of the Angus Reid Institute said Barton's changed tone also reflects new realities at home.""This isn't just about Canada and Ambassador Barton aligning with the Western consensus,"" she told CBC's Power and Politics. ""It really is about aligning with the Canadian consensus, because for several years we have seen a deterioration, and then a deterioration, and then a further deterioration in Canadian views of the Beijing regime.""Opinion polls do show a crashing decline in China's standing in Canadian public opinion, reaching what Kurl calls ""an all-time low"" as 2020 draws to a close.""You now find among the Canadian population a bloody-mindedness that says, 'You know what? This is not OK,'"" she said. ""This is about more than the human rights situation, this is about more than events in Hong Kong. What has really viscerally affected Canadians is the kidnapping of the two Michaels.""Obviously, the detention of Kovrig and Spavor was always intended by Beijing to be a pressure tactic — not a play for hearts and minds. But it hasn't worked as a pressure tactic and has instead backfired disastrously upon China's public image.Would the CCP judge the strategy wise in hindsight, or consider it a failure? Either way, the need to save face makes it hard for the Communist Party — famously averse to backing down on anything — to alter its course now.During his committee appearance, Barton praised the two Canadians for their resilience, which he said was an inspiration to him.Barton was eager to mend fences when asked about another Canadian detainee: Huseyin Celil, a Uighur rights activist from Burlington, Ont. who was snatched on behalf of Chinese authorities while visiting Uzbekistan 14 years ago, whisked across the border and given a life sentence.When asked about the case in February, Barton said he had not been able to visit Celil because Celil was not a Canadian citizen. Once again, he was echoing a view espoused by the government of China, which has refused to recognize the fact that Celil has been a Canadian citizen since 2001. Foreign Minister Francois-Philippe Champagne was forced to correct the record in the House of Commons a few days after Barton's misstatement.Two former ambassadors to China condemned Barton's mischaracterization of Celil. ""China doesn't get to determine who is or becomes a Canadian citizen,"" said David Mulroney, who represented Canada in Beijing from 2009 to 2012.This time, Barton described the steps he had taken to reach out to the Celil family in the wake of that embarrassing incident.There is still no sign of progress in Celil's case, however. His detention differs from that of Kovrig and Spavor in that Celil was not seized as a bargaining chip to pressure Canada, and his case predates the Huawei dispute.Instead, Celil's detention intersects with another issue that has raised tensions between China and Canada — one that also came up in one of the tenser moments in this week's meeting between Barton and MPs.Conservative MP Garnett Genuis pressed Barton to make a clear statement on China's suppression of its Uighur minority, who are concentrated in the far western Xinjiang region.He read out the recent words of the Trudeau government's newish ambassador to the UN, Bob Rae, who told CBC News ""there's no question that there's aspects of what the Chinese are doing that fits into the definition of genocide in the genocide convention."" Did Barton agree with that statement? The ambassador refused to be pinned down, saying that while the situation was ""very, very concerning,"" more reports from the area were needed.Rights activists are particularly suspicious of Barton on this file because the company he headed, McKinsey, earned a reputation for indifference to Uighur suffering while eagerly promoting the Chinese government's economic plans for their homeland.The company defended itself but faced harsh criticism — even from the traditional business press.""I think we need to see the reports,"" Barton said. ""I haven't talked to Ambassador Rae about the particular evidence he has on that side.""""We need to have independent people on the ground who can go wherever they want"" in Xinjiang in order to determine what's happening, he added. Genuis was skeptical. ""We'd love to get access,"" he said. ""I think there's realities in terms of whether that's ever going to be given.""""Is Mr. Rae's statement consistent with the government's policy, or is yours?"" Genuis asked.Barton minimized the gap between the two, arguing that Rae was also seeking more investigation. A noticeable difference remained, however, in how the two men described the situation."
"Canada should impose sanctions on China, says U.S. Sen. Chris Coons",U.S. Sen. Chris Coons says the United States would welcome a move by Canada to impose sanctions against China.,2020-12-10T01:10:20.000Z,http://www.cbc.ca/player/play/1829876291925,Not Text Type
Two years of the Michaels’ imprisonment in China. Iconic song lyrics.,"Former diplomat Colin Robertson joins us to talk about Canadians Michael Kovrig & Michael Spavor imprisonment in China who have now been detained for two years. Then we’re joined by Juno award-winning hip hop artist Shad and CBC’s Lisa Christiansen to talk about the best, most unforgettable, and most iconic song lyrics.",2020-12-10T05:00:00.000Z,http://www.cbc.ca/player/play/1830297667981,Not Text Type
"Canada approves Pfizer-BioNTech vaccine, nearly two years since Michaels detained in China","December 9, 2020 - The Power Panel on the approval of the Pfizer-BioNTech vaccine. Plus, Michael Kovrig's wife Vina Nadjibulla and his employer Robert Malley nearly two years after his arrest.",2020-12-09T23:00:00.000Z,http://www.cbc.ca/player/play/1829916227907,Not Text Type
Two years of the Michaels’ imprisonment in China. Iconic song lyrics. | BC Today with Michelle Eliot | Live Radio | CBC Listen,"Former diplomat Colin Robertson joins us to talk about Canadians Michael Kovrig & Michael Spavor imprisonment in China who have now been detained for two years. Then we’re joined by Juno award-winning hip hop artist Shad and CBC’s Lisa Christiansen to talk about the best, most unforgettable, and most iconic song lyrics.",2020-12-10T05:00:00.000Z,http://www.cbc.ca/listen/live-radio/1-4-bc-today/clip/15813520-two-years-michaels-imprisonment-china.-iconic-song-lyrics.,Not Text Type
