title,description,publishtime,url,content
Canada's ties to China's military underscore the weird contradictions in its foreign policy | CBC News,It's been obvious for some time that there is something a little weird about the way Canada approaches its relationship with China — a disconnect brought into sharp relief this week by the news that Global Affairs and the Department of National Defence were not the same page when it came to military ties and training involving the People’s Liberation Army.,2020-12-12T09:00:00.000Z,http://www.cbc.ca/news/politics/canada-china-pla-peoples-liberation-army-1.5838658,Not Text Type
2 years since Canadians arrested in China,"CBC News Network's Sarah Galashan spoke with Kevin and Julia Garratt, former detainees in China, about their experience and their reaction to Michael Kovrig and Michael Spavor marking two years in jail.",2020-12-11T01:52:41.000Z,http://www.cbc.ca/player/play/1830449219677,Not Text Type
"Quest for the Best: Here's the top ginger beef in Calgary, says restaurant critic | CBC News","The Calgary Eyeopener's restaurant reviewer, Elizabeth Carson, went on a hunt for the best ginger beef in Calgary and the results are in.",2020-12-12T15:00:00.000Z,http://www.cbc.ca/news/canada/calgary/ginger-beef-food-critic-calgary-1.5838147,Not Text Type
CBC Gem - What's With The Jews? - What's With The Jews?,"The stunning scientific, social, and artistic accomplishments of the Jews raise an obvious question: How do they do it?",2020-12-12T14:48:22.000Z,http://gem.cbc.ca/media/whats-with-the-jews/whats-with-the-jews/38e815a-0135e705611,Not Text Type
"As Canadians sour on China, an ambassador changes his tone | CBC News","Dominic Barton, Canada's ambassador to China, made his first appearance at the China committee this week since before the pandemic hit Canada. He was noticeably less forgiving of Beijing and less bullish on business opportunities than last time — perhaps reflecting a turn against China in public opinion.",2020-12-10T09:00:00.000Z,http://www.cbc.ca/news/politics/china-kovrig-spavor-dominic-barton-1.5835036,Not Text Type
"Canada should impose sanctions on China, says U.S. Sen. Chris Coons",U.S. Sen. Chris Coons says the United States would welcome a move by Canada to impose sanctions against China.,2020-12-10T01:10:20.000Z,http://www.cbc.ca/player/play/1829876291925,Not Text Type
Two years of the Michaels’ imprisonment in China. Iconic song lyrics.,"Former diplomat Colin Robertson joins us to talk about Canadians Michael Kovrig & Michael Spavor imprisonment in China who have now been detained for two years. Then we’re joined by Juno award-winning hip hop artist Shad and CBC’s Lisa Christiansen to talk about the best, most unforgettable, and most iconic song lyrics.",2020-12-10T05:00:00.000Z,http://www.cbc.ca/player/play/1830297667981,Not Text Type
"Canada approves Pfizer-BioNTech vaccine, nearly two years since Michaels detained in China","December 9, 2020 - The Power Panel on the approval of the Pfizer-BioNTech vaccine. Plus, Michael Kovrig's wife Vina Nadjibulla and his employer Robert Malley nearly two years after his arrest.",2020-12-09T23:00:00.000Z,http://www.cbc.ca/player/play/1829916227907,Not Text Type
"CBC Gem - Power & Politics - Canada approves Pfizer-BioNTech vaccine, nearly two years since Michaels detained in China","December 9, 2020 - The Power Panel on the approval of the Pfizer-BioNTech vaccine. Plus, Michael Kovrig's wife Vina Nadjibulla and his employer Robert Malley nearly two years after his arrest.",2020-12-10T05:54:34.000Z,http://gem.cbc.ca/media/power-politics/canada-approves-pfizer-bio-n-tech-vaccine-nearly-two-years-since-michaels-detained-in-china/44b8224-01374cbd1f1,Not Text Type
Two years of the Michaels’ imprisonment in China. Iconic song lyrics. | BC Today with Michelle Eliot | Live Radio | CBC Listen,"Former diplomat Colin Robertson joins us to talk about Canadians Michael Kovrig & Michael Spavor imprisonment in China who have now been detained for two years. Then we’re joined by Juno award-winning hip hop artist Shad and CBC’s Lisa Christiansen to talk about the best, most unforgettable, and most iconic song lyrics.",2020-12-10T05:00:00.000Z,http://www.cbc.ca/listen/live-radio/1-4-bc-today/clip/15813520-two-years-michaels-imprisonment-china.-iconic-song-lyrics.,Not Text Type
"Yellowknife Chinese Association launches website, welcomes members | CBC News","'We’re Chinese,' says founding member Frank Fu. 'We need a voice, we need to tell people that we have our own culture.'",2020-12-08T15:00:00.000Z,http://www.cbc.ca/news/canada/north/yellowknife-chinese-association-1.5832028,"When Frank Fu moved to Yellowknife last October, he was all alone. ""It was very cold and a lot of snow,"" he recalls. Fu had moved to Yellowknife from Beijing under the N.W.T.'s Nominee Program, which invites people willing to invest at least $300,000 in a business to work toward permanent residency. The plan was to set up an apartment and a business, and his wife and two young children would follow. Fu spent his first two weeks in his apartment before venturing out to the grocery store, feeling very ""lonely."" Though he speaks English proficiently, he made his first close friends at a Chinese New Year celebration at the legislative assembly the following February. That's when he began to get the idea to create a formal group to help people like himself. This fall, he helped launch the Yellowknife Chinese Association with 10 board members and 24 members. The goals are to support newcomers, promote Chinese culture and language, and to give back to the community. ""We're Chinese,"" Fu said. ""We need a voice, we need to tell people that we have our own culture."" Fu had spent 20 years working for IBM in China. He now owns the security camera business, Intellibroad, in Yellowknife. He's still working on the association's new website. Angela Law is another founding board member. She moved to Yellowknife from Vancouver in 2002, but is originally from Hong Kong. Law and her family run Yellowknife Tours, the first company dedicated to bringing Chinese tourists to see the aurora. Law said previous generations of Chinese immigrants often had no time to organize societies: they were busy running businesses — often restaurants — working ""day and night."" ""I thought that this is the time because there are so many Chinese investors here,"" Law said.Law and Fu estimate there are around 200 Chinese people in the N.W.T., though both believe more will follow.  ""Language is a big barrier,"" for newcomers, Law said. She wants to help connect new immigrants to those with experience in Canada. The group's website will also share information useful to potential investors, such as the recent story about a lawsuit between a Chinese investor and a Yellowknife-based business partner, which the board has already discussed.""If these people [investors] want to know something about Yellowknife life here, then if they find us, then maybe this is also a channel for them to get someone who is living here and share the experience,"" said Law. The group hopes to mark their first event with a Spring Lantern festival, which they liken to a kind of Chinese Valentine's day, held 15 days after the Chinese lunar New Year. They hope to place red lanterns along Franklin Avenue and, pandemic permitting, hold some kind of event to celebrate. They also hope to launch classes or events for those who want to learn or improve their Chinese language skills. Members from mainland China, Taiwan and Hong Kong are all welcome to join the association. But the most important thing for now may be the social connections. While Fu was planning for his wife and children, ages 10 and three, to move to Yellowknife with him, the novel coronavirus arrived before they did. Fu now expects they won't move here until late in 2021, after the vaccine has been widely disseminated and it's safe to travel.  ""Right now, it's good because I have a lot of friends and I have a business to operate,"" Fu said.""And we have YKCA to work on and it's very exciting, so I'm OK. I'm good here."""
